# Japanese readings, used by JapaneseSearchKeys to match a kanji label against a
# query typed in kana or in latin script. Generated, do not edit by hand; see
# tools/generate-japanese-readings.py.
#
# Derived from JMdict by the Electronic Dictionary Research and Development
# Group, used under the Creative Commons Attribution-ShareAlike 4.0 license.
# https://www.edrdg.org/edrdg/licence.html
#
# One entry per line, tab separated: the written form followed by its readings.
# Sorted by the written form so that the file can be binary searched in place.
アア言ウ	アアイウ	アアユウ
アカデミー賞	アカデミーショウ
アキレス腱	アキレスケン
アクル日	アクルヒ
アジア人	アジアジン
アダ名	アダナ	コンメイ
アットイウ間	アットイウマ	アットユウマ
アットイウ間ニ	アットイウマニ
アナタ方	アナタガタ
アノ世	アノヨ
アノ人	アノヒト
アノ方	アノカタ
アミノ酸	アミノサン
アメリカ人	アメリカジン
アメリカ合衆国	アメリカガッシュウコク
アリ合ワセ	アリアワセ
アリ得ナイ	アリエナイ
アルカリ性	アルカリセイ
アルファベット順	アルファベットジュン
アル中	アルチュウ
アル意味デ	アルイミデ
アル意味デハ	アルイミデハ
アレ程	アレホド
アン摩	アンマ
イイ加減	イイカゲン
イイ加減ニシロ	イイカゲンニシロ
イスラム教	イスラムキョウ
イチ早ク	イチハヤク
イツノ間ニカ	イツノマニカ
イツモ通リ	イツモドオリ	イツモトオリ
イツ頃	イツゴロ
ウォール街	ウォールガイ	ウオールガイ
ウツ病	ウツビョウ
エックス線	エックスセン
エッフェル塔	エッフェルトウ
オセチ料理	オセチリョウリ
オリーブ色	オリーブイロ	オリーヴイロ
オレンジ色	オレンジイロ
オープン戦	オープンセン
オ一人様	オヒトリサマ
オ世話ニナル	オセワニナル
オ世辞	オセジ
オ中元	オチュウゲン
オ久シブリ	オヒサシブリ
オ互イニ	オタガイニ
オ仕着セ	オシキセ
オ代ワリ	オカワリ
オ休ミ	オヤスミ
オ休ミナサイ	オヤスミナサイ
オ会計	オカイケイ
オ使イ	オツカイ
オ兄サン	オニイサン
オ先ニ	オサキニ
オ出カケ	オデカケ
オ前	オマエ	オマイ
オ化ケ	オバケ
オ医者サン	オイシャサン
オ参リ	オマイリ
オ名前	オナマエ
オ喋リ	オシャベリ
オ土産	オミヤゲ	オミアゲ
オ坊サン	オボウサン
オ墨付キ	オスミツキ
オ大事ニ	オダイジニ
オ天気	オテンキ
オ好ミ焼キ	オコノミヤキ
オ姉サン	オネエサン	オネイサン
オ嬢サン	オジョウサン
オ子サマ	オコサマ
オ子様	オコサマ
オ宅	オタク
オ守リ	オマモリ
オ客サマ	オキャクサマ
オ客様	オキャクサマ
オ家	オウチ
オ家芸	オイエゲイ
オ小遣イ	オコヅカイ
オ巡リサン	オマワリサン
オ帰リ	オカエリ
オ帰リナサイ	オカエリナサイ
オ年寄リ	オトシヨリ
オ年玉	オトシダマ
オ店	オミセ
オ弁当	オベントウ
オ待タセシマシタ	オマタセシマシタ
オ待チカネ	オマチカネ
オ得	オトク
オ手上ゲ	オテアゲ
オ手伝イ	オテツダイ
オ手伝イサン	オテツダイサン
オ手数	オテスウ	オテカズ
オ手数デスガ	オテスウデスガ
オ手洗イ	オテアライ
オ手盛リ	オテモリ
オ支払イ方法	オシハライホウホウ
オ支払方法	オシハライホウホウ
オ昼	オヒル
オ時間	オジカン
オ株	オカブ
オ歳暮	オセイボ
オ母サン	オカアサン	オカーサン
オ気ニ入リ	オキニイリ
オ洒落	オシャレ
オ父サン	オトウサン	オトッサン
オ産	オサン
オ疲レサマ	オツカレサマ
オ疲レ様	オツカレサマ
オ知ラセ	オシラセ
オ礼	オレイ	オンレイ
オ祖母サン	オバアサン	オバーサン
オ祖父サン	オジイサン
オ祝イ	オイワイ
オ神輿	オミコシ
オ祭リ騒ギ	オマツリサワギ
オ節	オセチ
オ節介	オセッカイ
オ節料理	オセチリョウリ
オ絞リ	オシボリ
オ腹	オナカ
オ腹ノ子	オナカノコ
オ茶	オチャ
オ菓子	オカシ
オ菓子屋	オカシヤ
オ葬式	オソウシキ
オ蔭様デ	オカゲサマデ
オ袋	オフクロ
オ見積モリ	オミツモリ
オ試シアレ	オタメシアレ
オ詫ビ	オワビ
オ話	オハナシ
オ話シ	オハナシ
オ話中	オハナシチュウ
オ誕生日	オタンジョウビ
オ買イ得	オカイドク
オ買得	オカイドク
オ辞儀	オジギ
オ返シ	オカエシ
オ邪魔シマス	オジャマシマス
オ酢	オス
オ金	オカネ
オ金持チ	オカネモチ
オ釣リ	オツリ
オ開キ	オヒラキ
オ陰デ	オカゲデ
オ陰様デ	オカゲサマデ
オ願イ	オネガイ
オ願イイタシマス	オネガイイタシマス
オ願イシマス	オネガイシマス
オ願イ致シマス	オネガイイタシマス
オ風呂	オフロ
オ飾リ	オカザリ
オ馴染ミ	オナジミ
カキ氷	カキゴオリ
カケ離レル	カケハナレル
カスピ海	カスピカイ
カトリック教会	カトリックキョウカイ
カト言ッテ	カトイッテ
カモ知レナイ	カモシレナイ
カモ知レマセン	カモシレマセン
カリブ海	カリブカイ
カ否カ	カイナカ
カ国	カコク
カ弱イ	カヨワイ
ガラス張リ	ガラスバリ
ガラス戸	ガラスド
キマリ悪イ	キマリワルイ
キリスト教	キリストキョウ
クジ引キ	クジビキ
クッ付ク	クッツク
クラシック音楽	クラシックオンガク
クラブ活動	クラブカツドウ
グアテマラ共和国	グアテマラキョウワコク
グローバル化	グローバルカ
ケガ人	ケガニン
ケーソン工法	ケーソンコウホウ
コウ言ウ	コウイウ	コウユウ
コウ言ッタ	コウイッタ
コトガ出来ル	コトガデキル
コノ内	コノウチ	コノナカ
コノ前	コノマエ
コノ外	コノホカ
コノ辺	コノヘン
コノ間	コノアイダ	コノカン
コノ頃	コノゴロ
コピー機	コピーキ
コレカラ先	コレカラサキ
コレヲ機ニ	コレヲキニ
コレ等	コレラ
コロナ禍	コロナカ
ゴミ箱	ゴミバコ
ゴ主人	ゴシュジン
ゴ主人様	ゴシュジンサマ
ゴ了承クダサイ	ゴリョウショウクダサイ
ゴ了承下サイ	ゴリョウショウクダサイ
ゴ免	ゴメン
ゴ協力	ゴキョウリョク
ゴ存ジ	ゴゾンジ
ゴ存知	ゴゾンジ
ゴ無沙汰	ゴブサタ
ゴ破算	ゴハサン	ゴワサン
ゴ苦労サマ	ゴクロウサマ	ゴクローサマ
ゴ苦労様	ゴクロウサマ	ゴクローサマ
ゴ褒美	ゴホウビ
ゴ覧	ゴラン
ゴ覧ニナル	ゴランニナル
ゴ連絡	ゴレンラク
ゴ遠慮クダサイ	ゴエンリョクダサイ
ゴ遠慮下サイ	ゴエンリョクダサイ
ゴ飯	ゴハン
ゴ馳走	ゴチソウ
ゴ馳走サマ	ゴチソウサマ
ゴ馳走様	ゴチソウサマ
ゴ馳走様デシタ	ゴチソウサマデシタ
サイン会	サインカイ
サイン入リ	サインイリ
サツマ芋	サツマイモ	カンショ
サハラ砂漠	サハラサバク
サービス業	サービスギョウ
ザルヲ得ナイ	ザルヲエナイ
シキイ値	イキチ	シキイチ
シャボン玉	シャボンダマ
シーア派	シーアハ
シ続ケル	シツヅケル
シ過ギル	シスギル
ジェット機	ジェットキ
ジャガ芋	ジャガイモ
ジャ無イカ	ジャナイカ
スキ焼キ	スキヤキ
スグ側	スグソバ
スペイン語	スペインゴ
スポーツ新聞	スポーツシンブン
スマシ顔	スマシガオ
スワヒリ語	スワヒリゴ
セーラー服	セーラーフク
セ氏	セシ
ソウ言ウ	ソウイウ	ソウユウ
ソウ言エバ	ソウイエバ
ソウ言ッタ	ソウイッタ
ソコラ辺	ソコラヘン
ソノ上	ソノウエ
ソノ中	ソノナカ
ソノ他	ソノホカ	ソノタ
ソノ内	ソノウチ
ソノ内ニ	ソノウチニ
ソノ外	ソノホカ	ソノタ
ソノ様	ソノヨウ
ソノ物	ソノモノ
ソノ辺	ソノヘン
ソヨ風	ソヨカゼ	ビフウ
ソレ程	ソレホド
ソンナ中	ソンナナカ
ソ連	ソレン
タコ焼キ	タコヤキ
タドリ着ク	タドリツク
タメ息	タメイキ
タンパク質	タンパクシツ
チリ取リ	チリトリ
チリ紙	チリガミ	チリシ
ツイテ行ク	ツイテイク	ツイテユク
ツカノ間	ツカノマ
ツケ込ム	ツケコム
ツマ先	ツマサキ
テレビ局	テレビキョク
テレビ番組	テレビバングミ
デキルダケ早ク	デキルダケハヤク
デハ無イカ	デハナイカ
デパ地下	デパチカ
デボン紀	デボンキ
デモ隊	デモタイ
データ通信	データツウシン
デ御座イマス	デゴザイマス
トイウ訳	トイウワケ	トユウワケ
トハ言ウモノノ	トハイウモノノ
トハ限ラナイ	トハカギラナイ
ト言ウ	トイウ	トユウ
ト言ウコトハ	トイウコトハ
